@relation 'testset 2att'

@attribute Tweet string
@attribute Tekst {SPAM,NEWS,SPORTS}

@data
'crystal baller rewind this week s wildest apple watch rumors #smm #news',SPAM
'nowell ready for england re introduction #rugby #news',SPORTS
'isbpl #news budget short term pain long term gain budget short term pain long term gain',NEWS
'isbpl #news budget short term pain long term gain budget short term pain long term gain',NEWS
'callard proud of england under s spirit #rugby #news',SPORTS
'isbpl #news budget ceo point of view is india inc happy',NEWS
'isbpl #news budget ceo point of view is india inc happy',NEWS
'ponsford finds positives despite england women defeat in ireland #rugby #news',SPORTS
'#travel #wanderlust #explore #adventure #traveltips #vacation #tourism #news where rimbaud found peace in ethiopi',SPAM
'france v wales six nations live #london #uk #news',SPORTS
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'#news time for one upstate delaware police force the news journal #news',NEWS
'saturday clockwatch premier league and more as it happened #london #uk #news',SPORTS
'newcastle pegida organiser explains reasons for march video #london #uk #news',NEWS
'anthony mason new york knicks and charlotte hornets star dies at #london #uk #news',SPORTS
'mr fox shorsito blanco music big remix #rt #fav #ff #lol #news #rt #fav',SPAM
'rt y o #israeli arab boy came home from kindergarten to discover #israel had demolished his home #news #',NEWS
'japanese mi version mr fox diss #rt #fav #ff #lol #news #rt #fav',SPAM
'two arrested in hunt for missing rebecca watts #london #uk #news',NEWS
'rt #breaking #news indian mafia don turned politician dp yadav and others held guilty in murder case',NEWS
'rt #siliconvalley #money thanks for the net neutrality oligarchs #news',NEWS
'nick robinson being treated for lung tumour #london #uk #news',NEWS
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'nba preview san antonio spurs at phoenix suns feb #news',SPORTS
'horse racings tips sunday march #london #uk #news',SPAM
'six nations italy roll over scotland at the last with penalty try #london #uk #news',SPORTS
'please like our facebook fan page #trend #trending #news #fashion',SPAM
'xnxx cute alex loves to suck cock #pics #news #pussy #youtube',SPAM
'mccown wants to help manziel grow as a person and player #nfl #news #playoffs',SPORTS
'please like our facebook fan page #trend #trending #news #fashion',SPAM
'd iii ol marpet think i d beat winston in #nfl #news #playoffs',SPORTS
'message of leader of the islamic republic of iran #letteru #letterall ir #news #rt #np #world',SPAM
'i m fit as a flea insists nigel farage as poll shows ukip has lost ground #london #uk #news',SPAM
'l a area mayor blasts risk report of nfl stadium #nfl #news #playoffs',SPORTS
'rt new lambs are springing into action in #leeds #yorkshire #news',SPORTS
'autoblog video brunch week of #car #news',SPAM
'abducted boys from south sudan number in the hundreds #toronto #gta #news',NEWS
'new lambs are springing into action in #leeds #yorkshire #news',SPORTS
'prince william visits tsunami hit japan #toronto #gta #news',NEWS
'former knicks player anthony mason dead at #toronto #gta #news',SPORTS
'rt robinsnewswire #news #technology news proposed privacy bill protects industry more than it does people',NEWS
'startup finding the right business partner #entrepreneur #startup #news',SPAM
'to buy a cellphone pakistan wants your fingerprints #toronto #gta #news',SPAM
'#news #golf #global golf wallie coetsee takes a shot lead heading into final round of joburg open after under',SPORTS
'startup finding the right business partner #entrepreneur #startup #news',SPAM
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'bitcoin company ceo adam tepper killed in thailand motorcycle accident #bitcoin #crypto #news',NEWS
'dress that greatly resembles lupita nyong o s stolen gown recovered #toronto #gta #news',NEWS
'australian bitcoin trader adam tepper killed in phuket motorbike accident #bitcoin #crypto #news',NEWS
'mourners gather for elijah marsh funeral #toronto #gta #news',NEWS
'changing ontario s sex ed curriculum only a starting point #toronto #gta #news',NEWS
'battle creek is more odd couple than breaking bad cbs really wants you to know that its latest cop drama #tv #news',SPAM
'video clark gregg teases the return of s h i e l d in emojis the stars of marvel s agents of #tv #news',SPAM
'rt report #news ukrainian photographer sergei nikolaev was killed by a russian mortar attack on #pisky not clear of today or v',NEWS
'at least killed in car bombings militia attacks north of baghdad #toronto #gta #news',NEWS
'cavite vice governor shot in the chest #manila #news #asia',SPAM
'rt new isis video shows militants smashing ancient iraq artifacts link removed #money #dogecoin #bitcoin #news #love',NEWS
'prime minister stephen harper among the western leaders to condemn boris #toronto #gta #news',NEWS
'govt biff skirmishes seen hampering massacre probe #manila #news #asia',NEWS
'why the avengers age of ultron poster looks so familiar #movie #news #oscars',SPAM
'rt make big money click here gt #money #trafficnews #folloback #news #breakingnews #ptc h',SPAM
'three injured in separate stabbings overnight in toronto #toronto #gta #news',NEWS
'#breakingnews ways relics and artifacts can help us find jesus #news',SPAM
'#breakingnews candy hauling man used james bond device to hide license from toll booth cops #news',NEWS
'young tankers soguilon enero smash records in psl tilt #manila #news #asia',SPAM
'daily box office friday february #movie #news #oscars',SPAM
'lesotho votes in snap elections #news',SPAM
'lady bulldogs maul lady tamaraws #manila #news #asia',SPAM
'rt from feb protest demanding #israel to open occupied #hebron s main shuhada st to palestinians #news #palestine',SPAM
'egyptian court declares hamas a terrorist organization #news',NEWS
'budget short term pain long term gain #news #india #stock',NEWS
'easbit lanceert granny proof #bitcoin portemonnee #news #cryptocurrency',SPAM
'dragon boating off to a good start #manila #news #asia',SPAM
'man shot in dublin while walking with his child breakingnews ie #ireland #news',NEWS
'us magazine lupita nyong o s oscars calvin klein dress possibly found details #news #may #omg #nfb',NEWS
'rt lupita nyong o s oscars calvin klein dress possibly found details #news #celeb #follow',NEWS
'budget ceo point of view #news #india #stock',NEWS
'rt anthony mason dead former new york knicks player dies at after congestive heart failure #news #celeb #follow',SPORTS
'golden state bounce back to beat raptors #manila #news #asia',SPORTS
'your local doppler radar #cairo #egypt #news',SPAM
'#happybirthdaydaddysugg #news melbourne thunderstorms toddler killed the age',SPAM
'charges upgraded against lagrange highlands man in window smashing spree #chicago #news',SPAM
'wesleyan overdoses happened as school stepped up efforts ap #news',NEWS
'did u see this #jamielshaw #americanlivesmatter #blacktwitter #blacklivesmatter #news',SPAM
'can we expect a new ip from rockstar this year #news #announce #e',SPAM
'the intelligent investor the classic best seller on value investing benjamin graham #business #book #author #news',SPAM
'video your regional weather forecast #cairo #egypt #news',SPAM
'second chance for your money and your life unabridged robert t kiyosaki #business #book #author #news',SPAM
'rt gheytani sudan has shutdown #iran ian cultural centers for national security president bashir says #irantalks #news #usa http',NEWS
'magnitude m km nne of anatahan northern mariana islands pst #news #earthquake #quake',SPAM
'#news the craziest designs for london s newest pedestrian bridge the great city of london c #markets #trading',SPAM
'xnxx girl in pink gets her own pink center abused #pics #news #pussy #youtube',SPAM
'late dortmund goal flurry earns fourth successive victory daily mail #sport #news',SPORTS
'rt king of autosurf get visits h #webmaster #seo #autosurf #search #news',SPAM
'celtic v aberdeen derek mcinnes adamant dons do not need to win aberdeen press and journal #sport #news',SPORTS
'threesome sex pictures for two hot babes with small tits and one #pics #news #pussy #youtube',SPAM
'rt y o #israeli arab boy came home from kindergarten to discover #israel had demolished his home #news #',NEWS
'#usnews oregon lawmakers parents gear up for fight on bill eliminating most vaccine exemptions #news',NEWS
'#usnews anti israel divestment movement gaining traction at us colleges #news',NEWS
'#news #whatsapp #startups facebook shares its design secrets in the apple app store #apple #business',SPAM
'#news union budget telephone bills to pinch more telephone bills are set to pinch more as service tax h',NEWS
'rt earn big #money with #trafficmonsoon click here #internet #marketing #world #news #ptc h',SPAM
'melbourne #news melbourne city surge to thrilling win over adelaide united the guardian',SPORTS
'#forex #trading fast track to forex review examining forex mentors updated forex educational course fa #news',SPAM
'rt union budget telephone bills to pinch more telephone bills are set to pinch more as service t #news',NEWS
'rt gheytani while waiting for foreign trade #iran relies on smuggling cash #irantalks #us #news #fnpolitics #uk #paris #un http',NEWS
'rt union budget telephone bills to pinch more telephone bills are set to pinch more as service t #news',NEWS
'dems call gop homeland security strategy a political blunder via ap #news',NEWS
'knicks say former player anthony mason has died via ap #news',SPORTS
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'rt make big money click here gt #money #trafficnews #folloback #news #breakingnews #ptc h',SPAM
'rt gheytani inu cold cases and new arrests concerning #iran s global terrorism #irantalks #fnpolitics #news #us #uk #paris http',NEWS
'rt gheytani secret #nuclear site never before revealed until now #news #euronews #cnn #reuters #afp #ap ht',NEWS
'rt style expert lindsay albanese wants to make a list fashion more relatable the #celebrity #news #ff',SPAM
'confrontation between rita benson leblanc gayle benson at saints game occurred days before change in succession plan sources say #news',SPORTS
'see ebony aryana starr fucked by black cock free xnxx #pics #news #pussy #youtube',SPAM
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'xnxx busty blonde seduces with her juicy curves #pics #news #pussy #youtube',SPAM
'#breaking #news #trending new zealand',SPAM
'rt gap hires new head of design from c wonder #news',SPAM
'she rides him like a fucking bronco free xnxx #pics #news #pussy #youtube white milf she r',SPAM
'great month for stocks what s next #news #business #market',SPAM
'police arrest five people at anti islam pegida rally #itvnews #itv #news',NEWS
'anti islam protesters outnumbered five to one #itvnews #itv #news',NEWS
'greenspan effective demand weak as depression era #news #business #market',NEWS
'influential group urges fed to wait on raising rates #news #business #market',NEWS
'biggest problem for start ups too much #money #news #business #market',NEWS
'german #bank unveils insured express #bitcoin buying moves into us market #news #cryptocurrency',NEWS
'#markets at new highs but earnings keep slipping #news #business',NEWS
'american green president we need a healthy stable bustling #bitcoin economy #news #cryptocurrency',NEWS
'#poland welcomes its st two way #bitcoin atm #news #cryptocurrency',NEWS
'swarm s accepting submissions for nd class investments and announces legal framework for amp # #bitcoin #news',NEWS
'feb digest st way btm in #poland tails adds #bitcoin wallet #news #cryptocurrency',NEWS
'rt world briefing sanctions panel is urged for south sudan #africa #news',NEWS
'labour party conference deputy leader says this government has been one of newstalk #ireland #news',NEWS
'#bbcweather saturday light rain minimum temperature c f #weather #news',NEWS
'#news eight guilty over m paris heists #world #usa',NEWS
'leading the way to a single market strap up close and personal #malaysia #news',NEWS
'#news scotland italy #world #usa',SPORTS
'online american helps fuel attacks in egypt shahid king bolsen has used social media to encourage #trending #news',NEWS
'#news #technology news the weekender german absurdist art david cronenberg and pebble s smartwarch',SPAM
'#news #technology news proposed privacy bill protects industry more than it does people',SPAM
'#news #usa news nyc id program starts off with a bang',SPAM
'#news #usa news more details emerge on background of missouri shooter',NEWS
'#news #usa news retired goodyear blimp gondola joins cleveland exhibit',SPAM
'#news #world news lucarelli we don t know what will happen to parma next week',SPAM
'#news #world news helicopter that carried sudan s vice president catches fire',NEWS
'#news #business news oh my glob adventure time headed to big screen report says',SPAM
'#news #business news herbalife cuts pay of ceo johnson percent after missed targets',NEWS
'#news #business news top ios news of the week tracking iphones #apple pay activations iphones most profitable',SPAM
'#news #buzz sign up for the buzzfeed news newsletter',SPAM
'#news #buzz what s the best thing to eat in chicago for under',SPAM
'#news #buzz listen to dustin lance black s passionate speech on gay rights',SPAM
'oh my glob adventure time headed to big screen report says #tech #news',SPAM
'rt make big money click here gt #money #trafficnews #folloback #news #breakingnews #ptc h',SPAM
'eight guilty over m paris heists #news #europe',NEWS
'#news #buzz bars in america you should drink at before you die',SPAM
'#news #buzz surprising pickup lines that actually worked',SPAM
'y o #israeli arab boy came home from kindergarten to discover #israel had demolished his home #news #worldnews',NEWS
'rt earn big #money with #trafficmonsoon click here #internet #marketing #world #news #ptc h',SPAM
'finding nemo #news finding nemo at the philadelphia flower show washington post',SPAM
'#news re the forces against buhari excellent article bottom line message is clear nigerian #vanguardupdate',SPAM
'rt make big money click here gt #money #trafficnews #folloback #news #breakingnews #ptc h',SPAM
'lupica anthony mason who gave heart to knicks dead at new york daily news #breakingnews #news',SPORTS
'jihadi john what do we really know about him christian science monitor #breakingnews #news',SPAM
'warren buffett s letter gender should never decide ceo usa today #breakingnews #news',NEWS
'mom of murdered russian opposition leader putin will kill you for that fox news #breakingnews #news',NEWS
'race car stolen from morrow recovered near snellville undamaged atlanta journal constitution #breakingnews #news',NEWS
'nearly crashes caused by winter weather roads are a mess after nearly crashes since frida #austin #news',NEWS
'#news #whatsapp #startups deflation is back in america #apple #business',NEWS
'#news #whatsapp #startups mum amp # s the word lena dunham amp # s mom laurie simmons won amp # #apple #business',SPAM
'sea claims diver at blue hole remotely operated vehicle finds body at feet via guampdn #guam #news',NEWS
'pedestrian hit by vehicle remains on life support at gmh via guampdn #guam #news',NEWS
'rusted casket found at yona s togcha cemetery via guampdn #guam #news',NEWS
'senator aims to reduce prison contraband via guampdn #guam #news',NEWS
'groups spread chamorro culture via guampdn #guam #news',SPAM
'public safety roundup via guampdn #guam #news',NEWS
'on the hunt for atulai via guampdn #guam #news',NEWS
'bank to give out bottles via guampdn #guam #news',NEWS
'oil up sharply posts first monthly gain since june #oilgas #news',NEWS
'teen charged with manslaughter after she allegedly encouraged friend to commit suicide infowars #news',NEWS
'vatican s finance czar defends spending by his office infowars #news',NEWS
'greece s challenge appeasing its creditors and its population #news',NEWS
'gas prices soar in california as supply shrinks infowars #news',NEWS
'#news #bignews gunman kills three in south korea a gunman kills three people and then himself at an apartment',NEWS
'rt gheytani #iran tehran medical supply dealers on strike #irantalks #iranian #news',NEWS
'message of the leader of the islamic republic of iran #letteru #letteryouth #cbs #nytimes #theguardians #news #rt',SPAM
'message of the leader of the islamic republic of iran #letteru #letteryouth #cbs #nytimes #washingtontimes #news',SPAM
'#mag photos israel cuts off palestinian power twice in one week photos an # #news #',NEWS
'rt king of autosurf get visits h #webmaster #seo #autosurf #search #news',SPAM
'world record set at ploughing event a new world record is achieved at the th mullahead plough #world #news',NEWS
'rt gheytani #us looking into ncri s revelation of secret #iran nuclear site kerry says #irantalks #irantalksgeneva #news http',NEWS
'#abq #news #local officials find little effect on drugs in texas border surge the surge #update',NEWS
'#abq #news #local severe driving conditions title new mexico from mile marker t #update',NEWS
'colleges using coffers for financial aid to illegal immigrants stirs debate on imm #news #tech #world #follow',NEWS
'#abq #news #local warren buffett knows who next berkshire ceo is warren buffett the bil #update',NEWS
'obama meet amp greet skit #tfb #p #news #obama #peopleschamp',SPAM
'message of the leader of the islamic republic of iran #letteru #letteryouth #america #europa #american #news #vimeo',SPAM
'message of the leader of the islamic republic of iran #letteru #letteryouth #afp #news #bbc #cnn #worldnews #cbc',SPAM
'message of the leader of the islamic republic of iran #letteru #letteryouth #afp #news #canada #finland #czech #rt',SPAM
'message of the leader of the islamic republic of iran #letteru #letteryouth #fran ais #french #rt #afp #news #bbc',SPAM
'#janetjackson #music janet jackson shoe mold by shoemaker to the stars pasquale di fabrizio #entertainment #news',SPAM
'bill cosby claps back at accusers #news #billcosby #crimeandpunishment',NEWS
'ruins and recriminations after rebel advance on two east ukrainian towns reuters #news',NEWS
'rural ireland in shock at plans to axe buses the irish independent #ireland #news',NEWS
'rt the first #ptc that pays in dollars earn day #money #news #marketing #network',SPAM
'#katemiddleton #news kate middleton olympic joy hello canada magazine rare sold out back issue #collectibles #royal',SPAM
'#sports #news awesome federer floors djokovic in straight sets',SPORTS
'sexy vids amazing girl fucks on the patio #pics #news #pussy #youtube',SPAM
'message of the leader of the islamic republic of iran #letteru #letteryouth #news #isis #nytimes #islam #muslim',SPAM
'#news buffett says sprawl is good but may not be good enough #finance #business',NEWS
'battle of the smartwatches kicks off in barcelona #apple #iphone #news',SPAM
'#news herbalife cuts pay of ceo johnson percent after missed targets #finance #business',NEWS
'ericsson sues apple for telecom patent infringement #apple #iphone #news',NEWS
'apple s new oscars ad was shot entirely on ipad air #apple #iphone #news',SPAM
'u s raises concerns over made in indonesia smartphone law #apple #iphone #news',NEWS
'#mobile #news you re really going to want to tune in to bgr tomorrow',SPAM
'cnn gaffe mistakes vladimir putin for jihadi john #news',NEWS
'google partners with wireless carriers to push wallet service #apple #iphone #news',SPAM
'in turkey tracing the roots of christianity #news #filipino',SPAM
'buzz u s stocks on the move boeing dish valeant spectrum pharma #apple #iphone #news',SPAM
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'rt #siliconvalley #money thanks for the net neutrality oligarchs #news',NEWS
'astronaut sends vulcan tribute to leonard nimoy from final frontier #news',SPAM
'anthony mason bruising knicks forward dies at new york times #news',SPORTS
'mom of murdered russian opposition leader putin will kill you for that fox news #news',NEWS
'nasdaq nears all time highs as exuberance yields to reason #apple #iphone #news',NEWS
'rt earn big #money with #trafficmonsoon click here #internet #marketing #world #news #ptc h',SPAM
'nasdaq nears all time highs as exuberance yields to reason #apple #iphone #news',NEWS
'warren buffett s letter gender should never decide ceo usa today #news',NEWS
'samsung buys startup looppay moves toward mobile payments #apple #iphone #news',NEWS
'jeff stelling #news jeff stelling trolls arsenal after champions league loss mirror #co #uk',SPORTS
'monsoon boss john browett quits #apple #iphone #news',SPAM
'rt htv htvpk a lack of facilities in govt hospitals is causing chaos in gujranwala #pakistan #news',NEWS
'#news #weightloss juicing helpful or harmful #horoscope #fit',SPAM
'#news #news cny pix with tourists travelmag',SPAM
'#astrology #new x vintage silver signs of zodiac coin astrology charms pendants on sale #horoscope #news',SPAM
'class a driver home weekends houston #houston #news',SPAM
'tobias jesso jr performs how could you babe on the tonight show watch #music #news #wigradio',SPAM
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'computer hardware break fix warranty technician college station #houston #news',SPAM
'free cell phone distribution conroe #houston #news',SPAM
'strengthening cooperation between civil society activists and unsmil #libya #news',NEWS
'#news d iii ol marpet think i d beat winston in',SPAM
'rt earn big #money with #trafficmonsoon click here #internet #marketing #world #news #ptc h',SPAM
'message of leader of the islamic republic of iran #letteru #letterall ir #news #rt #np #world',SPAM
'#news #whatsapp #startups expedia buys orbtiz for billion #apple #business',SPAM
'message of leader of the islamic republic of iran #letteru #letterall #quran #muhammad #islam #news',SPAM
'rt in chicago a spoon full of blues help the medicine go down #news #chicago #health #life #peo',SPAM
'#ucwradio wisconsin unions head to state capitol to protest right to work law #news',NEWS
'nick gordon blasts bobby brown on twitter my voice would wake bobbi kristina up #socialmedia #news',SPAM
'rt in chicago a spoon full of blues help the medicine go down #news #chicago #health #life #peo',SPAM
'#ucwradio fracking ban forcing some new york towns to consider redrawing state lines #news',NEWS
'rt the first #ptc that pays in dollars earn day #money #news #marketing #network',SPAM
'xnxx brutal three way action with annie cruz #pics #news #pussy #youtube',SPAM
'rt make big money click here gt #money #trafficnews #folloback #news #breakingnews #ptc h',SPAM
'new on ddtv boy beats and rapes his classmate trying to reenact shades of grey #news #assault',NEWS
'site used to plan pearl harbor attack to be torn down #tokyo #japan #news',NEWS
'sexy vids medical test for shy young babe #pics #news #pussy #youtube',SPAM
'#u s led coalition launches air strikes on islamic state targets in iraq syria #news',NEWS
'#news dot earth blog cnn s bill weir explores the world s threatened wonders in a cnn series a seasoned for',SPAM
'sexy vids petite european brunette filling her tight pussy #pics #news #pussy #youtube',SPAM
'rt king of autosurf get visits h #webmaster #seo #autosurf #search #news',SPAM
'#news yemen signs aviation deal with iran state news agency #world #usa',NEWS
'#breaking #news #trending china s',SPAM
'#news d iii ol marpet think i d beat winston in',SPAM
'rt two year old sings national anthem perfectly #a #news #tcot',SPAM
'john boorman catches up with alter ego in queen amp country sale #news',SPAM
'san diego leaders seek more study of alleged racial profiling by police sale #news',NEWS
'why dna could be the future of data storage sale #news',SPAM
'anthony mason new york knicks and charlotte hornets star dies at sale #news',SPORTS
'rt org rare #whale a first for #britain amp europe mystery whale in cornish waters is young bowhead whale',NEWS
'more staff on gritters after assault sale #news',NEWS
'eight guilty over m paris heists sale #news',NEWS
'rt egypt court bans hamas an egyptian court has declared the palestinian group hamas a terror #new',NEWS
'two arrested in hunt for missing rebecca watts sale #news',NEWS
'while new england gets snow west africa gets sand clouds sale #news',NEWS
'#news bbc s robinson to have tumour removed the bbc s political editor nick robinson is to have an #stiri',NEWS
'bbc s robinson to have tumour removed sale #news',NEWS
'sexy xxx warming up for some hot sex #pics #news #pussy #youtube',SPAM
'husband leaves five star review for hotel he alleges was used by his daily mail #ireland #news',NEWS
'rt gheytani al hurra tv iranian opp unveiled the existence of a secret uranium enrichment facility in #iran #irantalks #news http',NEWS
'newcastle united aston villa #africa #news #loop',SPORTS
'#news d iii ol marpet think i d beat winston in',SPORTS
'south africa and mali prepare for final #africa #news #loop',SPORTS
'#news d iii ol marpet think i d beat winston in',SPORTS
'startup finding the right business partner #news',SPAM
'#robinwilliams #news nine months starring hugh grant julianne moore robin williams pregnancy dvd #trending #searches',SPAM
'why are #muslims who practice #islam fasting in ramadan #us #uk #philippines #india #news #africa #asia #rt',SPAM
'rt gheytani cnbc #iran regime s hysteric reaction to ncri revelations exposing its decade long deception #irantalks #news http',SPAM
'#washington ending homelessness saves money monetary reform and public banks should fund t #news #nieuws',NEWS
'jeep grand cherokee cleveland oh #cy jeep grand #news #video #parma',SPAM
'#news #media #usa ending homelessness saves money monetary reform and public banks should #journalism #watch',NEWS
'ford focus cleveland oh #ck ford focus cleveland #news #video #parma',SPAM
'news i m a co leader in this project either interested in a similar story your channel #news',SPAM
'#wrestling #tna #sports impact wrestling unlocked impact top week of feb #sport #video #news',SPORTS
'#wrestling #tna #sports impact unlocked interview the wolves on where their roots are #sport #video #news',SPORTS
'rt stmichel experienced an amazing phenomenon this week read more here #travel #news #franc',SPAM
'message of leader of the islamic republic of iran #letteru #letterall #quran #muhammad #islam #news',SPAM
'xnxx girl in pink gets her own pink center abused #pics #news #pussy #youtube',SPAM
'rt gheytani us daily review #iranian opposition leader mullahs need ousted from middle east #iran #news #syria #iraq #uk http',SPAM
'#newyork #sports george steinbrenner returns to head the yankees in after a suspension from #news #sport',SPORTS
'startup finding the right business partner #news',SPAM
'startup finding the right business partner #news',SPAM
'rt earn big #money with #trafficmonsoon click here #internet #marketing #world #news #ptc h',SPAM
'rt rt #ukraine s photo journalist killed in #donbas #media #news',NEWS
'climb aboard and help our park plea at champagne boat launch #northnorfolk #news',SPAM
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'#nascar #motorsports motorsports crime spree they don t call it hot lanta for nothin #news',SPORTS
'rt gheytani american people should know what a menace the #us is dealing with when it comes to #iran nuke talks #news http',NEWS
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'rt the first #ptc that pays in dollars earn day #money #news #marketing #network',SPAM
'what would you do #jamielshaw sr did u see this #pjnet #teaparty #occupy #ocra #news #jamielslaw #usa',SPAM
'foreign fighers fighting along with extremists in libya fm #libya #news',NEWS
'rt rt blog remembering leonard nimoy #llap #news #tfb #p',SPAM
'#news read everything that s left some of the top progressive stories via',SPAM
'message of leader of the islamic republic of iran #letteru #letterall ir #news #rt #np #world',SPAM
'rt gheytani iran s neighboring countries furious over the west concessions to #iran s mullahs on nuke talk #irantalks #news http',NEWS
'startup finding the right business partner #entrepreneur #startup #news',SPAM
'rt gheytani british labor party suspends disgrace #iran ian regime lobby jack straw #irantalks #news #fnpolitics #us #uk #zdf http',NEWS
'moebius models scale catwoman classic batman tv series plastic model kit nib #newsdict #news',SPAM
'#nigeria #news opposition mounts against obanikoro in senate #nairapark thesun#newspape',NEWS
'#nigeria #news nobel laureate urges efcc icpc to probe ekiti rigging tape #nairapark',NEWS
'fcc passes net neutrality rules in victory for open #newsdict #news',NEWS
'rt rt redding homeless blog dangerous #corruption in local #redding #california #news #media #kr',NEWS
'#nigeria #news pop star falls off stage at brit awards # #nairapark #newspapers',SPAM
'#nigeria #news it s operation show your pvc next sunday oyedepo #nairapark #newspapers',SPAM
'rt earn big #money with #trafficmonsoon click here #internet #marketing #world #news #ptc h',SPAM
'marijuana the true facts being kept secret #httpgdatayoutubecomschemasvideo #marijuana #news',SPAM
